"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキザイダンホウジンイノベーションオブフジ","公益財団法人Ｉｎｎｏｖａｔｉｏｎ　ｏｆ　ＦＵＪＩ","公益財団法人","内閣府","532-0003","大阪府","大阪市淀川区宮原４丁目１番９号","06-6350-1087","岡﨑　裕夫","https://innovation-of-fuji.or.jp/","0101～1231","学術及び科学技術の振興を目的とする事業","日本の食の文化・科学技術の振興に寄与することを目的として、食の文化・科学技術等を学ぶ大学生・大学院生・海外からの留学生及び専門学校の学生に対して、奨学金支給等の事業を行う。","なし",""
"コウエキザイダンホウジン　エリカワキョウイクザイダン","公益財団法人襟川教育財団","公益財団法人","神奈川県","223-0062","神奈川県","横浜市港北区日吉本町１丁目４番２４号","045-564-8282","襟川　恵子","http://foee.or.jp","0701～0630","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","学資金給付事業","なし",""
"コウエキザイダンホウジンコスモスザイダン","公益財団法人コスモス財団","公益財団法人","内閣府","950-0165","新潟県","新潟市江南区西町一丁目２番１号","025-212-2150","古泉　肇","https://www.cosmos-foundation.jp","0701～0630","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","日本全国の高等学校の農業関係学科に在籍する生徒に対する奨学金支給事業","なし",""
"コウエキシャダンホウジンナマコンザンコンソリューションギジュツケンキュウカイ","公益社団法人生コン・残コンソリューション技術研究会","公益社団法人","内閣府","106-0044","東京都","港区東麻布２－３３－２　ラ・ピエドラ２０２","03-4405-1057","野口　貴文","https://rrcs-association.or.jp/index.html","0901～0831","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","当法人は、前条の目的を達成するため、次の事業を行う。
（１）未使用生コンクリートを使った再生新資材の調査・研究及び開発
（２）未使用生コンクリートを使った再生新資材のＪＩＳ規格化等の実行および支援
（３）コンクリート事業における脱炭素化の取組みとその技術の研究・開発
（４）各種機関との共同研究開発及び支援
（５）事業の普及に基づく講演会の開催及び事業活動の発信
（６）その他前条の目的を達成するために必要な事業","なし",""
"コウエキザイダンホウジンスイドウドボクシンコウザイダン","公益財団法人水道土木振興財団","公益財団法人","内閣府","124-0002","東京都","葛飾区西亀有１丁目２６番１７号松原ビル３階","03-6662-6331","松原　明男","https://watercef.org/","0101～1231","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","当財団は、水道土木関連学科に就学する大学生で、学業及び人物が優れているにもかかわらず経済的理由によって修学が困難な者に対し奨学援助を行い、社会に有用な人材育成と学術振興に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンイチマサヤマビコザイダン","公益財団法人一正やまびこ財団","公益財団法人","新潟県","950-0801","新潟県","新潟市東区津島屋７丁目７７番地","025-270-7111","野崎　正博","https://www.ichimasa-yamabiko.or.jp/","1001～0930","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","この法人は、新潟県内で社会貢献し得る学術研究・調査並びに文化に関する教育及び普及啓発活動等を促進すると共に、次代を担う創造的で豊かな人間性を備えた人材を育成するための事業を行う。","なし",""
"コウエキザイダンホウジンヤナイコクサイイクエイヒカリザイダン","公益財団法人柳内国際育英光財団","公益財団法人","千葉県","279-0002","千葉県","浦安市北栄4-20-10","03-6456-0617","柳内　光子","https://yanai-ikuei.or.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","千葉県内にある日本語学校で学ぶ外国人留学生、及び同日本語学校を卒業し、専門学校、短期大学、大学又は大学院に進学した者に対して奨学金を給付（給与又は貸与）する事業","なし",""
"コウエキシャダンホウジンヤンマーシゲンジュンカンシエンキコウ","公益社団法人ヤンマー資源循環支援機構","公益社団法人","内閣府","530-0013","大阪府","大阪市北区茶屋町１番２７号","06-7636-2983","山岡　健人","http://www.yanmar.com/jp/shigenjunkan","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","資源循環型社会の実現に資する研究・開発・実験・社会実装に対する支援・助成を行っている。","なし",""
"コウエキザイダンホウジンセンコーミライザイダン","公益財団法人センコーみらい財団","公益財団法人","内閣府","541-0051","大阪府","大阪市中央区備後町二丁目６番８号","06-6440-5156","吉村　伸三","https://senko-mirai-foundation.com/","0401～0331","学術及び科学技術の振興を目的とする事業","未来を担う若者への奨学金給付による経済的支援及び社会的弱者への育英支援並びに学術、文化・スポーツの振興に関する事業","なし",""
"コウエキザイダンホウジンタカナシイクエイザイダン","公益財団法人タカナシ育英財団","公益財団法人","神奈川県","240-0005","神奈川県","横浜市保土ケ谷区神戸町１３４番地横浜ビジネスパークイーストタワー１３階","045-338-1823","髙梨　信芳","https://www.takanashi-milk.co.jp/ikueizaidan","0701～0630","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","神奈川県内の学校において食又は農業に関連する分野を学ぶ学生・生徒に対する奨学金支給事業","なし",""
